"","Year","Male","Age","Survival"
"1",2013,0,0,0.95044688474363
"2",2013,0,1,0.944081294017964
"3",2013,0,2,0.939014131844008
"4",2013,0,3,0.935224894255792
"5",2013,0,4,0.932698296191196
"6",2013,0,5,0.931424168684866
"7",2013,0,6,0.930236057289954
"8",2013,0,7,0.929133637127312
"9",2013,0,8,0.928116606995288
"10",2013,0,9,0.927184689232569
"11",2013,0,10,0.926337629591835
"12",2013,0,11,0.925400835182426
"13",2013,0,12,0.92437457988744
"14",2013,0,13,0.923259163532043
"15",2013,0,14,0.922054911737481
"16",2013,0,15,0.920762175762652
"17",2013,0,16,0.91906144329363
"18",2013,0,17,0.916954982572477
"19",2013,0,18,0.914445599065928
"20",2013,0,19,0.911536629238972
"21",2013,0,20,0.908231933162454
"22",2013,0,21,0.904422826058282
"23",2013,0,22,0.900115761536257
"24",2013,0,23,0.895318014818757
"25",2013,0,24,0.890037662264654
"26",2013,0,25,0.884283558717059
"27",2013,0,26,0.878319812966747
"28",2013,0,27,0.872151178727214
"29",2013,0,28,0.865782549088782
"30",2013,0,29,0.859218950060473
"31",2013,0,30,0.852465533972095
"32",2013,0,31,0.845723081323401
"33",2013,0,32,0.838992174276524
"34",2013,0,33,0.832273388656737
"35",2013,0,34,0.825567293888637
"36",2013,0,35,0.81887445293444
"37",2013,0,36,0.812169757264524
"38",2013,0,37,0.805454390953382
"39",2013,0,38,0.798729530927979
"40",2013,0,39,0.791996346645253
"41",2013,0,40,0.785255999775316
"42",2013,0,41,0.778444096138059
"43",2013,0,42,0.771563502601862
"44",2013,0,43,0.764617094903678
"45",2013,0,44,0.757607755674437
"46",2013,0,45,0.750538372476363
"47",2013,0,46,0.743318766518486
"48",2013,0,47,0.735954560949112
"49",2013,0,48,0.728451449531081
"50",2013,0,49,0.720815189353556
"51",2013,0,50,0.713051593525465
"52",2013,0,51,0.704973052714775
"53",2013,0,52,0.696592212787121
"54",2013,0,53,0.687922082254094
"55",2013,0,54,0.678975998740724
"56",2013,0,55,0.669767594936944
"57",2013,0,56,0.659746571683152
"58",2013,0,57,0.648953314097711
"59",2013,0,58,0.637430836244976
"60",2013,0,59,0.625224496087727
"61",2013,0,60,0.612381698821092
"62",2013,0,61,0.598553899736396
"63",2013,0,62,0.583820270216062
"64",2013,0,63,0.568263704224016
"65",2013,0,64,0.551970045265971
"66",2013,0,65,0.535027302862735
"67",2013,0,66,0.516748646333942
"68",2013,0,67,0.497308311574373
"69",2013,0,68,0.476886529519265
"70",2013,0,69,0.455666771892095
"71",2013,0,70,0.433833048398473
"72",2013,0,71,0.410918615462486
"73",2013,0,72,0.387210308787293
"74",2013,0,73,0.362991050242705
"75",2013,0,74,0.338534422674323
"76",2013,0,75,0.314099802882692
"77",2013,0,76,0.286910975854858
"78",2013,0,77,0.258012847187468
"79",2013,0,78,0.22842843784438
"80",2013,0,79,0.199101108574363
"81",2013,0,80,0.170848769956328
"82",2013,1,0,0.942212920209786
"83",2013,1,1,0.934579110723249
"84",2013,1,2,0.928563974172663
"85",2013,1,3,0.924136953731102
"86",2013,1,4,0.921275643791554
"87",2013,1,5,0.919965600867041
"88",2013,1,6,0.91871548179157
"89",2013,1,7,0.917525047223386
"90",2013,1,8,0.916394069447513
"91",2013,1,9,0.915322332303149
"92",2013,1,10,0.914309631114815
"93",2013,1,11,0.913191383383608
"94",2013,1,12,0.911967979246064
"95",2013,1,13,0.910639845159501
"96",2013,1,14,0.909207443654279
"97",2013,1,15,0.907671273065347
"98",2013,1,16,0.905896878551994
"99",2013,1,17,0.903885668035911
"100",2013,1,18,0.9016392351106
"101",2013,1,19,0.899159356937108
"102",2013,1,20,0.89644799190109
"103",2013,1,21,0.893310012407582
"104",2013,1,22,0.889749959598086
"105",2013,1,23,0.885772972433675
"106",2013,1,24,0.881384775334035
"107",2013,1,25,0.876591664447977
"108",2013,1,26,0.871338276827467
"109",2013,1,27,0.865633214479545
"110",2013,1,28,0.85948577896751
"111",2013,1,29,0.852905946147045
"112",2013,1,30,0.845904339200816
"113",2013,1,31,0.838652199648802
"114",2013,1,32,0.831156977534094
"115",2013,1,33,0.823426324227576
"116",2013,1,34,0.81546807944387
"117",2013,1,35,0.807290258031556
"118",2013,1,36,0.798929318166017
"119",2013,1,37,0.790392675040259
"120",2013,1,38,0.781687839778533
"121",2013,1,39,0.772822408498461
"122",2013,1,40,0.763804051351617
"123",2013,1,41,0.754486419706377
"124",2013,1,42,0.744883089323106
"125",2013,1,43,0.73500792317314
"126",2013,1,44,0.724875038262914
"127",2013,1,45,0.714498772212982
"128",2013,1,46,0.704051480350334
"129",2013,1,47,0.693540667496442
"130",2013,1,48,0.682973786560997
"131",2013,1,49,0.672358230093257
"132",2013,1,50,0.661701322054181
"133",2013,1,51,0.650767528257243
"134",2013,1,52,0.639576270015305
"135",2013,1,53,0.628147165499439
"136",2013,1,54,0.616499973106876
"137",2013,1,55,0.604654535346012
"138",2013,1,56,0.592062307784799
"139",2013,1,57,0.578779791102126
"140",2013,1,58,0.564865629507958
"141",2013,1,59,0.550380181753403
"142",2013,1,60,0.53538508819112
"143",2013,1,61,0.519533076809026
"144",2013,1,62,0.502925415098122
"145",2013,1,63,0.485665676614341
"146",2013,1,64,0.467858677416162
"147",2013,1,65,0.449609432887986
"148",2013,1,66,0.430436443568735
"149",2013,1,67,0.410521161857246
"150",2013,1,68,0.390045219166095
"151",2013,1,69,0.369187734033451
"152",2013,1,70,0.34812279578412
"153",2013,1,71,0.326560646563512
"154",2013,1,72,0.304748388065938
"155",2013,1,73,0.282920992149655
"156",2013,1,74,0.261297414829629
"157",2013,1,75,0.240077377824554
"158",2013,1,76,0.217229734743498
"159",2013,1,77,0.193570517766506
"160",2013,1,78,0.169867798558675
"161",2013,1,79,0.146802959929133
"162",2013,1,80,0.124942580901831
